| database |             class | count |
| big_test |            rocket |     2 |
| big_test |             roses |     2 |
| big_test |               sea |     2 |
| big_test |              seal |     2 |
| big_test |             shark |     2 |
| big_test |              ship |     2 |
| big_test |             shrew |     2 |
| big_test |             skunk |     2 |
| big_test |        skyscraper |     2 |
| big_test |             snail |     2 |
| big_test |             snake |     2 |
| big_test |            spider |     2 |
| big_test |          squirrel |     2 |
| big_test |         streetcar |     2 |
| big_test |        sunflowers |     2 |
| big_test |     sweet peppers |     2 |
| big_test |             table |     2 |
| big_test |              tank |     2 |
| big_test |         telephone |     2 |
| big_test |        television |     2 |
| big_test |             tiger |     2 |
| big_test |           tractor |     2 |
| big_test |             train |     2 |
| big_test |             trout |     2 |
| big_test |             truck |     2 |
| big_test |            tulips |     2 |
| big_test |            turtle |     2 |
| big_test |          wardrobe |     2 |
| big_test |             whale |     2 |
| big_test |            willow |     2 |
| big_test |              wolf |     2 |
| big_test |             woman |     2 |
| big_test |              worm |     2 |


|      network | database | database_size | features_size |
| ------------ | -------- | ------------- | ------------- |
|   mobile_net |      big |          1980 |          1980 |
| mobile_netV2 |      big |          1980 |          1980 |
|          nas |      big |          1980 |          1980 |
|        vgg16 |      big |          1980 |          1980 |
|         xcep |      big |          1980 |          1980 |
|   mobile_net | big_test |           220 |           220 |
| mobile_netV2 | big_test |           220 |           220 |
|          nas | big_test |           220 |           220 |
|        vgg16 | big_test |           220 |           220 |
|         xcep | big_test |           220 |           220 |
